Combination	Num_Genes	Count	Frequency(%)
Z2098/aggR/eae/espK/subA	5	0	0.0
Z2098/aggR/eae/espK/ureD	5	0	0.0
Z2098/aggR/eae/espN/espV	5	0	0.0
Z2098/aggR/eae/espN/stx1	5	0	0.0
Z2098/aggR/eae/espN/stx2	5	0	0.0
Z2098/aggR/eae/espN/subA	5	0	0.0
Z2098/aggR/eae/espN/ureD	5	0	0.0
Z2098/aggR/eae/espV/stx1	5	0	0.0
Z2098/aggR/eae/espV/stx2	5	0	0.0
Z2098/aggR/eae/espV/subA	5	0	0.0
Z2098/aggR/eae/espV/ureD	5	0	0.0
Z2098/aggR/eae/stx1/stx2	5	0	0.0
Z2098/aggR/eae/stx1/subA	5	0	0.0
Z2098/aggR/eae/stx1/ureD	5	0	0.0
Z2098/aggR/eae/stx2/subA	5	0	0.0
Z2098/aggR/eae/stx2/ureD	5	0	0.0
Z2098/aggR/eae/subA/ureD	5	0	0.0
Z2098/aggR/espK/espN/espV	5	0	0.0
Z2098/aggR/espK/espN/stx1	5	0	0.0
Z2098/aggR/espK/espN/stx2	5	0	0.0
Z2098/aggR/espK/espN/subA	5	0	0.0
Z2098/aggR/espK/espN/ureD	5	0	0.0
Z2098/aggR/espK/espV/stx1	5	0	0.0
Z2098/aggR/espK/espV/stx2	5	0	0.0
Z2098/aggR/espK/espV/subA	5	0	0.0
Z2098/aggR/espK/espV/ureD	5	0	0.0
Z2098/aggR/espK/stx1/stx2	5	0	0.0
Z2098/aggR/espK/stx1/subA	5	0	0.0
Z2098/aggR/espK/stx1/ureD	5	0	0.0
Z2098/aggR/espK/stx2/subA	5	0	0.0
Z2098/aggR/espK/stx2/ureD	5	0	0.0
Z2098/aggR/espK/subA/ureD	5	0	0.0
Z2098/aggR/espN/espV/stx1	5	0	0.0
Z2098/aggR/espN/espV/stx2	5	0	0.0
Z2098/aggR/espN/espV/subA	5	0	0.0
Z2098/aggR/espN/espV/ureD	5	0	0.0
Z2098/aggR/espN/stx1/stx2	5	0	0.0
Z2098/aggR/espN/stx1/subA	5	0	0.0
Z2098/aggR/espN/stx1/ureD	5	0	0.0
Z2098/aggR/espN/stx2/subA	5	0	0.0
Z2098/aggR/espN/stx2/ureD	5	0	0.0
Z2098/aggR/espN/subA/ureD	5	0	0.0
Z2098/aggR/espV/stx1/stx2	5	0	0.0
Z2098/aggR/espV/stx1/subA	5	0	0.0
Z2098/aggR/espV/stx1/ureD	5	0	0.0
Z2098/aggR/espV/stx2/subA	5	0	0.0
Z2098/aggR/espV/stx2/ureD	5	0	0.0
Z2098/aggR/espV/subA/ureD	5	0	0.0
Z2098/aggR/stx1/stx2/subA	5	0	0.0
Z2098/aggR/stx1/stx2/ureD	5	0	0.0
Z2098/aggR/stx1/subA/ureD	5	0	0.0
Z2098/aggR/stx2/subA/ureD	5	0	0.0
Z2098/eae/espK/espN/subA	5	0	0.0
Z2098/eae/espK/espV/subA	5	0	0.0
Z2098/eae/espK/stx1/subA	5	0	0.0
Z2098/eae/espK/stx2/subA	5	0	0.0
Z2098/eae/espK/subA/ureD	5	0	0.0
Z2098/eae/espN/espV/subA	5	0	0.0
Z2098/eae/espN/stx1/subA	5	0	0.0
Z2098/eae/espN/stx2/subA	5	0	0.0
Z2098/eae/espN/subA/ureD	5	0	0.0
Z2098/eae/espV/stx1/subA	5	0	0.0
Z2098/eae/espV/stx2/subA	5	0	0.0
Z2098/eae/espV/subA/ureD	5	0	0.0
Z2098/eae/stx1/stx2/subA	5	0	0.0
Z2098/eae/stx1/subA/ureD	5	0	0.0
Z2098/eae/stx2/subA/ureD	5	0	0.0
Z2098/espK/espN/espV/subA	5	0	0.0
Z2098/espK/espN/stx1/subA	5	0	0.0
